"filename", "language", "Dart", "comment", "blank", "total"
"d:\Github\htlib\htlib\lib\_internal\components\adaptive_button.dart", "Dart", 112, 0, 12, 124
"d:\Github\htlib\htlib\lib\_internal\components\adaptive_scaffold.dart", "Dart", 162, 7, 10, 179
"d:\Github\htlib\htlib\lib\_internal\components\custom_cupertino_switch.dart", "Dart", 408, 59, 61, 528
"d:\Github\htlib\htlib\lib\_internal\components\measure_size.dart", "Dart", 30, 0, 10, 40
"d:\Github\htlib\htlib\lib\_internal\components\no_glow_scroll_behavior.dart", "Dart", 8, 0, 2, 10
"d:\Github\htlib\htlib\lib\_internal\components\sliver_indicator.dart", "Dart", 16, 0, 3, 19
"d:\Github\htlib\htlib\lib\_internal\components\spacing.dart", "Dart", 20, 0, 10, 30
"d:\Github\htlib\htlib\lib\_internal\director\filepicker_windows.dart", "Dart", 75, 125, 69, 269
"d:\Github\htlib\htlib\lib\_internal\image_whisperer.dart", "Dart", 296, 14, 43, 353
"d:\Github\htlib\htlib\lib\_internal\input_formatter.dart", "Dart", 17, 1, 4, 22
"d:\Github\htlib\htlib\lib\_internal\page_break.dart", "Dart", 18, 0, 7, 25
"d:\Github\htlib\htlib\lib\_internal\page_routes.dart", "Dart", 78, 0, 8, 86
"d:\Github\htlib\htlib\lib\_internal\utils\build_utils.dart", "Dart", 63, 0, 11, 74
"d:\Github\htlib\htlib\lib\_internal\utils\color_utils.dart", "Dart", 29, 1, 7, 37
"d:\Github\htlib\htlib\lib\_internal\utils\date_utils.dart", "Dart", 4, 0, 2, 6
"d:\Github\htlib\htlib\lib\_internal\utils\error_utils.dart", "Dart", 41, 0, 7, 48
"d:\Github\htlib\htlib\lib\_internal\utils\file_utils.dart", "Dart", 19, 84, 4, 107
"d:\Github\htlib\htlib\lib\_internal\utils\launcher_utils.dart", "Dart", 5, 0, 2, 7
"d:\Github\htlib\htlib\lib\_internal\utils\path_utils.dart", "Dart", 11, 0, 3, 14
"d:\Github\htlib\htlib\lib\_internal\utils\rest_utils.dart", "Dart", 12, 0, 1, 13
"d:\Github\htlib\htlib\lib\_internal\utils\string_utils.dart", "Dart", 77, 2, 18, 97
"d:\Github\htlib\htlib\lib\_internal\utils\utils.dart", "Dart", 22, 0, 6, 28
"d:\Github\htlib\htlib\lib\_internal\widget_view.dart", "Dart", 11, 0, 6, 17
"d:\Github\htlib\htlib\lib\app.dart", "Dart", 122, 0, 9, 131
"d:\Github\htlib\htlib\lib\injection.dart", "Dart", 15, 0, 4, 19
"d:\Github\htlib\htlib\lib\main.dart", "Dart", 16, 7, 9, 32
"d:\Github\htlib\htlib\lib\resources\images.dart", "Dart", 5, 0, 3, 8
"d:\Github\htlib\htlib\lib\resources\resources.dart", "Dart", 1, 0, 1, 2
"d:\Github\htlib\htlib\lib\src\api\core\book_api.dart", "Dart", 1, 0, 1, 2
"d:\Github\htlib\htlib\lib\src\api\core\crud_api.dart", "Dart", 11, 0, 7, 18
"d:\Github\htlib\htlib\lib\src\api\firebase\book_api.dart", "Dart", 63, 0, 11, 74
"d:\Github\htlib\htlib\lib\src\api\firebase\core\err\firebase_error.dart", "Dart", 2, 0, 2, 4
"d:\Github\htlib\htlib\lib\src\api\firebase\core\firebase_core_api.dart", "Dart", 42, 0, 6, 48
"d:\Github\htlib\htlib\lib\src\api\firebase\firebase.dart", "Dart", 3, 0, 1, 4
"d:\Github\htlib\htlib\lib\src\api\firebase\renting_history_api.dart", "Dart", 77, 0, 18, 95
"d:\Github\htlib\htlib\lib\src\api\firebase\user_api.dart", "Dart", 107, 0, 19, 126
"d:\Github\htlib\htlib\lib\src\api\htlib_api.dart", "Dart", 6, 0, 2, 8
"d:\Github\htlib\htlib\lib\src\db\book_db.dart", "Dart", 34, 0, 11, 45
"d:\Github\htlib\htlib\lib\src\db\config_db.dart", "Dart", 15, 0, 6, 21
"d:\Github\htlib\htlib\lib\src\db\core\core_db.dart", "Dart", 21, 0, 8, 29
"d:\Github\htlib\htlib\lib\src\db\core\crud_db.dart", "Dart", 8, 0, 6, 14
"d:\Github\htlib\htlib\lib\src\db\htlib_db.dart", "Dart", 48, 0, 7, 55
"d:\Github\htlib\htlib\lib\src\db\renting_history_db.dart", "Dart", 38, 0, 10, 48
"d:\Github\htlib\htlib\lib\src\db\user_db.dart", "Dart", 32, 0, 9, 41
"d:\Github\htlib\htlib\lib\src\model\book.dart", "Dart", 90, 0, 18, 108
"d:\Github\htlib\htlib\lib\src\model\book.g.dart", "Dart", 48, 4, 8, 60
"d:\Github\htlib\htlib\lib\src\model\hive_id.dart", "Dart", 5, 0, 1, 6
"d:\Github\htlib\htlib\lib\src\model\renting_history.dart", "Dart", 122, 0, 16, 138
"d:\Github\htlib\htlib\lib\src\model\renting_history.g.dart", "Dart", 48, 4, 8, 60
"d:\Github\htlib\htlib\lib\src\model\user.dart", "Dart", 120, 3, 21, 144
"d:\Github\htlib\htlib\lib\src\model\user.g.dart", "Dart", 54, 4, 8, 66
"d:\Github\htlib\htlib\lib\src\services\book\adding_book_dialog_service.dart", "Dart", 13, 0, 2, 15
"d:\Github\htlib\htlib\lib\src\services\book\excel_service.dart", "Dart", 61, 2, 12, 75
"d:\Github\htlib\htlib\lib\src\services\book_service.dart", "Dart", 127, 0, 28, 155
"d:\Github\htlib\htlib\lib\src\services\core\crud_service.dart", "Dart", 12, 0, 8, 20
"d:\Github\htlib\htlib\lib\src\services\renting_history_service.dart", "Dart", 163, 0, 29, 192
"d:\Github\htlib\htlib\lib\src\services\state_management\core\cubit_list\cubit\list_cubit.dart", "Dart", 34, 0, 10, 44
"d:\Github\htlib\htlib\lib\src\services\state_management\core\cubit_list\cubit\list_cubit.freezed.dart", "Dart", 316, 24, 53, 393
"d:\Github\htlib\htlib\lib\src\services\state_management\core\cubit_list\cubit\list_state.dart", "Dart", 7, 0, 2, 9
"d:\Github\htlib\htlib\lib\src\services\state_management\core\list\list_bloc.dart", "Dart", 45, 0, 12, 57
"d:\Github\htlib\htlib\lib\src\services\state_management\core\list\list_bloc.freezed.dart", "Dart", 936, 51, 140, 1127
"d:\Github\htlib\htlib\lib\src\services\state_management\core\list\list_event.dart", "Dart", 9, 0, 2, 11
"d:\Github\htlib\htlib\lib\src\services\state_management\core\list\list_state.dart", "Dart", 7, 0, 2, 9
"d:\Github\htlib\htlib\lib\src\services\user_service.dart", "Dart", 149, 9, 30, 188
"d:\Github\htlib\htlib\lib\src\utils\app_config.dart", "Dart", 18, 0, 2, 20
"d:\Github\htlib\htlib\lib\src\utils\painter\logo.dart", "Dart", 456, 0, 41, 497
"d:\Github\htlib\htlib\lib\src\view\book_management\book_management_binding.dart", "Dart", 43, 0, 10, 53
"d:\Github\htlib\htlib\lib\src\view\book_management\book_management_screen.dart", "Dart", 215, 0, 15, 230
"d:\Github\htlib\htlib\lib\src\view\book_management\components\book_bottom_bar.dart", "Dart", 96, 0, 5, 101
"d:\Github\htlib\htlib\lib\src\view\book_management\components\book_list_tile.dart", "Dart", 86, 0, 8, 94
"d:\Github\htlib\htlib\lib\src\view\book_management\components\book_screen.dart", "Dart", 234, 0, 8, 242
"d:\Github\htlib\htlib\lib\src\view\book_management\components\classify_book_screen.dart", "Dart", 50, 0, 7, 57
"d:\Github\htlib\htlib\lib\src\view\book_management\components\classify_book_tile.dart", "Dart", 36, 0, 4, 40
"d:\Github\htlib\htlib\lib\src\view\book_management\components\dialog\adding_book_dialog.dart", "Dart", 478, 4, 22, 504
"d:\Github\htlib\htlib\lib\src\view\book_management\components\shortcut\shortcut_renting_history_book_page.dart", "Dart", 28, 0, 5, 33
"d:\Github\htlib\htlib\lib\src\view\book_management\components\shortcut\shortcut_user_book_page.dart", "Dart", 28, 0, 5, 33
"d:\Github\htlib\htlib\lib\src\view\home\home_binding.dart", "Dart", 3, 0, 3, 6
"d:\Github\htlib\htlib\lib\src\view\home\home_screen.dart", "Dart", 141, 0, 7, 148
"d:\Github\htlib\htlib\lib\src\view\renting_history_management\components\dialog\adding_renting_history_dialog.dart", "Dart", 585, 1, 37, 623
"d:\Github\htlib\htlib\lib\src\view\renting_history_management\components\renting_history_bottom_bar.dart", "Dart", 33, 0, 5, 38
"d:\Github\htlib\htlib\lib\src\view\renting_history_management\components\renting_history_grid_tile.dart", "Dart", 241, 0, 16, 257
"d:\Github\htlib\htlib\lib\src\view\renting_history_management\components\renting_history_list_tile.dart", "Dart", 114, 0, 7, 121
"d:\Github\htlib\htlib\lib\src\view\renting_history_management\components\renting_history_screen.dart", "Dart", 255, 0, 10, 265
"d:\Github\htlib\htlib\lib\src\view\renting_history_management\components\shortcut\shortcut_book_renting_history_page.dart", "Dart", 33, 0, 6, 39
"d:\Github\htlib\htlib\lib\src\view\renting_history_management\components\shortcut\shortcut_user_renting_history_page.dart", "Dart", 33, 0, 5, 38
"d:\Github\htlib\htlib\lib\src\view\renting_history_management\renting_history_management_binding.dart", "Dart", 2, 0, 2, 4
"d:\Github\htlib\htlib\lib\src\view\renting_history_management\renting_history_management_screen.dart", "Dart", 206, 0, 19, 225
"d:\Github\htlib\htlib\lib\src\view\settings\components\setting_bottom_bar.dart", "Dart", 32, 0, 5, 37
"d:\Github\htlib\htlib\lib\src\view\settings\setting_screen.dart", "Dart", 156, 0, 7, 163
"d:\Github\htlib\htlib\lib\src\view\user_management\components\dialog\adding_user_dialog.dart", "Dart", 428, 2, 19, 449
"d:\Github\htlib\htlib\lib\src\view\user_management\components\shortcut\shortcut_book_user_page.dart", "Dart", 30, 0, 5, 35
"d:\Github\htlib\htlib\lib\src\view\user_management\components\user_bottom_bar.dart", "Dart", 96, 0, 5, 101
"d:\Github\htlib\htlib\lib\src\view\user_management\components\user_grid_tile.dart", "Dart", 122, 0, 5, 127
"d:\Github\htlib\htlib\lib\src\view\user_management\components\user_list_tile.dart", "Dart", 82, 0, 6, 88
"d:\Github\htlib\htlib\lib\src\view\user_management\components\user_screen.dart", "Dart", 342, 0, 12, 354
"d:\Github\htlib\htlib\lib\src\view\user_management\printing\user_printing_screen.dart", "Dart", 210, 30, 13, 253
"d:\Github\htlib\htlib\lib\src\view\user_management\printing\user_select_printing_screen.dart", "Dart", 105, 3, 6, 114
"d:\Github\htlib\htlib\lib\src\view\user_management\user_management_binding.dart", "Dart", 44, 0, 11, 55
"d:\Github\htlib\htlib\lib\src\view\user_management\user_management_screen.dart", "Dart", 243, 0, 14, 257
"d:\Github\htlib\htlib\lib\src\widget\htlib_sliver_app_bar.dart", "Dart", 77, 0, 4, 81
"d:\Github\htlib\htlib\lib\strings.dart", "Dart", 0, 0, 1, 1
"d:\Github\htlib\htlib\lib\styles.dart", "Dart", 141, 5, 71, 217
"Total", "-", 10089, 446, 1299, 11834